Epoch,MSE,Classification_Error
1,5.004171843091795,0.5034013605442177
2,4.820864045239351,0.5034013605442177
3,4.645517598664338,0.4897959183673469
4,4.477759500300288,0.4897959183673469
5,4.317235088685423,0.4897959183673469
6,4.16360711620458,0.4965986394557823
7,4.01655486900381,0.4897959183673469
8,3.875773332106811,0.4897959183673469
9,3.740972397391132,0.4897959183673469
10,3.611876112203913,0.48299319727891155
11,3.4882219665125724,0.48299319727891155
12,3.3697602165953686,0.48299319727891155
13,3.256253243380597,0.48299319727891155
14,3.1474749436415537,0.46938775510204084
15,3.0432101523477244,0.46938775510204084
16,2.9432540945610306,0.46258503401360546
17,2.8474118653497356,0.4557823129251701
18,2.7554979362720755,0.4557823129251701
19,2.667335687056943,0.4557823129251701
20,2.582756961180268,0.4557823129251701
21,2.501601644103446,0.4557823129251701
22,2.4237172630041703,0.4421768707482993
23,2.348958606890875,0.4421768707482993
24,2.2771873660495268,0.4421768707482993
25,2.208271789826128,0.4421768707482993
26,2.142086361800021,0.43537414965986393
27,2.078511491452138,0.43537414965986393
28,2.0174332214788318,0.42857142857142855
29,1.9587429499459956,0.42857142857142855
30,1.902337166519945,0.41496598639455784
31,1.8481172020511316,0.41496598639455784
32,1.795988990824324,0.40816326530612246
33,1.745862844824405,0.3945578231292517
34,1.6976532394007373,0.3877551020408163
35,1.6512786097449685,0.38095238095238093
36,1.606661157627468,0.38095238095238093
37,1.563726667866333,0.38095238095238093
38,1.522404334030105,0.3741496598639456
39,1.4826265929011735,0.3673469387755102
40,1.4443289672513306,0.3673469387755102
41,1.4074499165041066,0.36054421768707484
42,1.371930694880534,0.3673469387755102
43,1.3377152166458441,0.3673469387755102
44,1.304749928094333,0.3673469387755102
45,1.272983685928408,0.3673469387755102
46,1.2423676417055896,0.35374149659863946
47,1.2128551320440395,0.35374149659863946
48,1.184401574293212,0.35374149659863946
49,1.1569643673913248,0.35374149659863946
50,1.130502797645712,0.35374149659863946
51,1.1049779491857157,0.35374149659863946
52,1.0803526188506885,0.3469387755102041
53,1.056591235287893,0.3401360544217687
54,1.0336597820466924,0.3197278911564626
55,1.0115257244664138,0.3197278911564626
56,0.9901579401656854,0.3197278911564626
57,0.9695266529509415,0.3129251700680272
58,0.9496033699711571,0.30612244897959184
59,0.9303608219547459,0.30612244897959184
60,0.9117729063730104,0.30612244897959184
61,0.8938146333824746,0.2925170068027211
62,0.876462074406058,0.2925170068027211
63,0.8596923132201896,0.272108843537415
64,0.8434833994217856,0.272108843537415
65,0.8278143041554834,0.2585034013605442
66,0.8126648779876289,0.25170068027210885
67,0.7980158108193353,0.25170068027210885
68,0.7838485937364321,0.24489795918367346
69,0.7701454826993512,0.23809523809523808
70,0.7568894639809374,0.23129251700680273
71,0.7440642212648867,0.2108843537414966
72,0.7316541043219463,0.20408163265306123
73,0.7196440991852616,0.19727891156462585
74,0.7080197997502279,0.19047619047619047
75,0.6967673807280443,0.19047619047619047
76,0.6858735718857348,0.19047619047619047
77,0.6753256335088397,0.19047619047619047
78,0.6651113330262215,0.1836734693877551
79,0.6552189227394909,0.17687074829931973
80,0.6456371186024956,0.17006802721088435
81,0.6363550799990593,0.17006802721088435
82,0.6273623904698017,0.16326530612244897
83,0.6186490393413465,0.16326530612244897
84,0.6102054042135907,0.1564625850340136
85,0.6020222342629493,0.14965986394557823
86,0.5940906343216119,0.1564625850340136
87,0.5864020496948695,0.1564625850340136
88,0.5789482516804696,0.14965986394557823
89,0.5717213237557871,0.14965986394557823
90,0.5647136484003137,0.1360544217687075
91,0.5579178945225958,0.1360544217687075
92,0.5513270054623148,0.1292517006802721
93,0.544934187539656,0.1292517006802721
94,0.5387328991255254,0.1292517006802721
95,0.532716840207485,0.1292517006802721
96,0.5268799424275409,0.1292517006802721
97,0.5212163595691033,0.1292517006802721
98,0.5157204584715791,0.12244897959183673
99,0.5103868103521217,0.12244897959183673
100,0.5052101825150872,0.12244897959183673
