Dataset,Gradient_Mode,Learning_Rate,Precision,Epochs_Run,Final_MSE,Train_Accuracy,Test_Accuracy,Weights
1,stochastic,0.01,0.0001,100,0.26472690399774157,95.71428571428572,95.0,"[-0.0211, -0.7567, 0.8551]"
1,batch,0.01,0.0001,100,0.7232178735478716,86.42857142857143,91.66666666666666,"[0.157, -0.0086, 0.5581]"
2,stochastic,0.01,0.0001,100,0.9982543555008112,47.42857142857143,32.0,"[0.0162, -0.036, -0.1285]"
2,batch,0.01,0.0001,100,1.287097943605287,29.14285714285715,36.0,"[0.144, 0.691, 0.5496]"
3,stochastic,0.01,0.1,100,0.32602286039851786,93.87755102040816,85.71428571428571,"[0.0047, -0.0396, -0.0528, -0.0257, -0.029, -0.0284, 0.0145, 0.0262, 0.0584, -0.0005, 0.612]"
3,stochastic,0.01,0.0001,100,0.32602286039851786,93.87755102040816,85.71428571428571,"[0.0047, -0.0396, -0.0528, -0.0257, -0.029, -0.0284, 0.0145, 0.0262, 0.0584, -0.0005, 0.612]"
3,stochastic,0.001,0.1,100,0.3229600737282149,93.87755102040816,85.71428571428571,"[-0.0147, -0.0201, -0.0404, -0.0228, -0.0185, -0.055, 0.001, 0.0272, 0.0637, -0.0213, 0.6119]"
3,stochastic,0.001,0.0001,100,0.3229600737282149,93.87755102040816,85.71428571428571,"[-0.0147, -0.0201, -0.0404, -0.0228, -0.0185, -0.055, 0.001, 0.0272, 0.0637, -0.0213, 0.6119]"
3,stochastic,0.0001,0.1,100,0.5052101825150872,87.75510204081633,79.36507936507937,"[0.1049, 0.218, 0.1057, 0.1258, 0.0352, 0.0279, 0.0096, 0.2474, 0.2262, -0.0196, 0.5699]"
3,stochastic,0.0001,0.0001,100,0.5052101825150872,87.75510204081633,79.36507936507937,"[0.1049, 0.218, 0.1057, 0.1258, 0.0352, 0.0279, 0.0096, 0.2474, 0.2262, -0.0196, 0.5699]"
3,batch,0.01,0.1,100,0.7787762082328823,75.51020408163265,71.42857142857143,"[0.1651, 0.3497, 0.1933, 0.2099, 0.0545, 0.0583, 0.022, 0.3587, 0.3048, 0.0368, 0.5118]"
3,batch,0.01,0.0001,100,0.7787762082328823,75.51020408163265,71.42857142857143,"[0.1651, 0.3497, 0.1933, 0.2099, 0.0545, 0.0583, 0.022, 0.3587, 0.3048, 0.0368, 0.5118]"
3,batch,0.001,0.1,100,4.044937447764548,51.02040816326531,44.44444444444444,"[0.3492, 0.8608, 0.637, 0.5399, 0.1382, 0.1444, 0.0557, 0.789, 0.5624, 0.5685, 0.1149]"
3,batch,0.001,0.0001,100,4.044937447764548,51.02040816326531,44.44444444444444,"[0.3492, 0.8608, 0.637, 0.5399, 0.1382, 0.1444, 0.0557, 0.789, 0.5624, 0.5685, 0.1149]"
3,batch,0.0001,0.1,100,5.064593051980232,49.65986394557823,44.44444444444444,"[0.372, 0.9413, 0.7218, 0.5925, 0.1541, 0.1548, 0.0579, 0.8581, 0.5972, 0.6929, 0.0308]"
3,batch,0.0001,0.0001,100,5.064593051980232,49.65986394557823,44.44444444444444,"[0.372, 0.9413, 0.7218, 0.5925, 0.1541, 0.1548, 0.0579, 0.8581, 0.5972, 0.6929, 0.0308]"
